geo,name,World bank region
afg,Afghanistan,South Asia
alb,Albania,Europe & Central Asia
dza,Algeria,Middle East & North Africa
ago,Angola,Sub-Saharan Africa
atg,Antigua and Barbuda,Latin America & Caribbean
arg,Argentina,Latin America & Caribbean
aus,Australia,East Asia & Pacific
aut,Austria,Europe & Central Asia
bhs,"Bahamas, The",Latin America & Caribbean
bhr,Bahrain,Middle East & North Africa
bgd,Bangladesh,South Asia
brb,Barbados,Latin America & Caribbean
blz,Belize,Latin America & Caribbean
ben,Benin,Sub-Saharan Africa
btn,Bhutan,South Asia
bol,Bolivia,Latin America & Caribbean
bwa,Botswana,Sub-Saharan Africa
bra,Brazil,Latin America & Caribbean
brn,Brunei Darussalam,East Asia & Pacific
bgr,Bulgaria,Europe & Central Asia
bfa,Burkina Faso,Sub-Saharan Africa
bdi,Burundi,Sub-Saharan Africa
khm,Cambodia,East Asia & Pacific
cmr,Cameroon,Sub-Saharan Africa
can,Canada,North America
caf,Central African Republic,Sub-Saharan Africa
tcd,Chad,Sub-Saharan Africa
chl,Chile,Latin America & Caribbean
chn,China,East Asia & Pacific
col,Colombia,Latin America & Caribbean
com,Comoros,Sub-Saharan Africa
cod,"Congo, Dem. Rep.",Sub-Saharan Africa
cog,"Congo, Rep.",Sub-Saharan Africa
cri,Costa Rica,Latin America & Caribbean
civ,Cote d'Ivoire,Sub-Saharan Africa
cub,Cuba,Latin America & Caribbean
cyp,Cyprus,Europe & Central Asia
dnk,Denmark,Europe & Central Asia
dji,Djibouti,Middle East & North Africa
dom,Dominican Republic,Latin America & Caribbean
ecu,Ecuador,Latin America & Caribbean
egy,"Egypt, Arab Rep.",Middle East & North Africa
slv,El Salvador,Latin America & Caribbean
gnq,Equatorial Guinea,Sub-Saharan Africa
eth,Ethiopia,Sub-Saharan Africa
fji,Fiji,East Asia & Pacific
fin,Finland,Europe & Central Asia
fra,France,Europe & Central Asia
gab,Gabon,Sub-Saharan Africa
gmb,"Gambia, The",Sub-Saharan Africa
deu,Germany,Europe & Central Asia
gha,Ghana,Sub-Saharan Africa
grc,Greece,Europe & Central Asia
grd,Grenada,Latin America & Caribbean
gtm,Guatemala,Latin America & Caribbean
gin,Guinea,Sub-Saharan Africa
gnb,Guinea-Bissau,Sub-Saharan Africa
guy,Guyana,Latin America & Caribbean
hti,Haiti,Latin America & Caribbean
hnd,Honduras,Latin America & Caribbean
hun,Hungary,Europe & Central Asia
isl,Iceland,Europe & Central Asia
ind,India,South Asia
idn,Indonesia,East Asia & Pacific
irq,Iraq,Middle East & North Africa
irl,Ireland,Europe & Central Asia
isr,Israel,Middle East & North Africa
ita,Italy,Europe & Central Asia
jam,Jamaica,Latin America & Caribbean
jpn,Japan,East Asia & Pacific
jor,Jordan,Middle East & North Africa
ken,Kenya,Sub-Saharan Africa
kir,Kiribati,East Asia & Pacific
kwt,Kuwait,Middle East & North Africa
lao,Lao PDR,East Asia & Pacific
lbn,Lebanon,Middle East & North Africa
lso,Lesotho,Sub-Saharan Africa
lbr,Liberia,Sub-Saharan Africa
lby,Libya,Middle East & North Africa
mdg,Madagascar,Sub-Saharan Africa
mwi,Malawi,Sub-Saharan Africa
mys,Malaysia,East Asia & Pacific
mdv,Maldives,South Asia
mli,Mali,Sub-Saharan Africa
mlt,Malta,Middle East & North Africa
mrt,Mauritania,Sub-Saharan Africa
mus,Mauritius,Sub-Saharan Africa
mex,Mexico,Latin America & Caribbean
mng,Mongolia,East Asia & Pacific
mar,Morocco,Middle East & North Africa
moz,Mozambique,Sub-Saharan Africa
mmr,Myanmar,East Asia & Pacific
nam,Namibia,Sub-Saharan Africa
npl,Nepal,South Asia
nld,Netherlands,Europe & Central Asia
nzl,New Zealand,East Asia & Pacific
nic,Nicaragua,Latin America & Caribbean
ner,Niger,Sub-Saharan Africa
nga,Nigeria,Sub-Saharan Africa
nor,Norway,Europe & Central Asia
omn,Oman,Middle East & North Africa
pak,Pakistan,South Asia
pan,Panama,Latin America & Caribbean
png,Papua New Guinea,East Asia & Pacific
pry,Paraguay,Latin America & Caribbean
per,Peru,Latin America & Caribbean
phl,Philippines,East Asia & Pacific
pol,Poland,Europe & Central Asia
prt,Portugal,Europe & Central Asia
qat,Qatar,Middle East & North Africa
rou,Romania,Europe & Central Asia
rwa,Rwanda,Sub-Saharan Africa
stp,Sao Tome and Principe,Sub-Saharan Africa
sau,Saudi Arabia,Middle East & North Africa
sen,Senegal,Sub-Saharan Africa
sle,Sierra Leone,Sub-Saharan Africa
sgp,Singapore,East Asia & Pacific
slb,Solomon Islands,East Asia & Pacific
som,Somalia,Sub-Saharan Africa
zaf,South Africa,Sub-Saharan Africa
esp,Spain,Europe & Central Asia
lka,Sri Lanka,South Asia
lca,St. Lucia,Latin America & Caribbean
vct,St. Vincent and the Grenadines,Latin America & Caribbean
sdn,Sudan,Sub-Saharan Africa
sur,Suriname,Latin America & Caribbean
swz,Swaziland,Sub-Saharan Africa
swe,Sweden,Europe & Central Asia
che,Switzerland,Europe & Central Asia
tza,Tanzania,Sub-Saharan Africa
tha,Thailand,East Asia & Pacific
tgo,Togo,Sub-Saharan Africa
ton,Tonga,East Asia & Pacific
tto,Trinidad and Tobago,Latin America & Caribbean
tun,Tunisia,Middle East & North Africa
tur,Turkey,Europe & Central Asia
uga,Uganda,Sub-Saharan Africa
are,United Arab Emirates,Middle East & North Africa
gbr,United Kingdom,Europe & Central Asia
usa,United States,North America
ury,Uruguay,Latin America & Caribbean
vut,Vanuatu,East Asia & Pacific
ven,"Venezuela, RB",Latin America & Caribbean
vnm,Vietnam,East Asia & Pacific
yem,"Yemen, Rep.",Middle East & North Africa
zmb,Zambia,Sub-Saharan Africa
zwe,Zimbabwe,Sub-Saharan Africa
