Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,Data.Infrastructure.Telephone Lines,Data.Infrastructure.Telephone Lines per 100 People,Data.Rural Development.Agricultural Land,Data.Rural Development.Agricultural Land Percent,Data.Rural Development.Arable Land,Data.Rural Development.Arable Land Percent,Data.Rural Development.Land Area,Data.Rural Development.Rural Population,Data.Rural Development.Rural Population Growth,Data.Rural Development.Surface Area,Data.Urban Development.Population Density,Data.Urban Development.Urban Population Percent,Data.Urban Development.Urban Population Percent Growth
Canada,1980,15.4,7,1.754,78.59,71.32,74.86634146,0.99766936,24277000,0,0,9595000,39.56235092,669030,7.357225098,1.827820571,4.879743905,9093510,5918004,0.833711883,9984670,2.669706197,75.623,1.050578234
Canada,1981,15.4,7.1,1.74,78.73,71.6,75.07804878,1.293244953,24593000,0,0,9979000,40.71224022,663960,7.301471049,1.818525597,4.918122925,9093510,5985198,1.129019129,9984670,2.704456255,75.663,1.346125553
Canada,1982,15.3,7,1.7,79.11,72.02,75.47853659,1.240595387,24900000,0,0,10294500,41.57076055,658890,7.245717,1.810120482,4.956501945,9093510,6047712,1.039059753,9984670,2.738216596,75.712,1.30533307
Canada,1983,15.1,7.1,1.69,79.23,72.3,75.6804878,1.205555298,25202000,0,0,10335442,41.32064158,662760,7.288274825,1.789778589,4.960240875,9093510,6080235,0.536332785,9984670,2.771427095,75.874,1.419292924
Canada,1984,15,7,1.68,79.55,72.69,76.03634146,1.002811515,25456000,0,0,10468344,41.42934621,666640,7.330942617,1.77321653,4.963869837,9093510,6100530,0.33323061,9984670,2.799359103,76.035,1.214785179
Canada,1985,15,7,1.65,79.78,73.02,76.31756098,0.961733829,25702000,0,0,11827271,46.30512952,670510,7.373500442,1.757567504,4.967608767,9093510,6118361,0.291859755,9984670,2.826411364,76.195,1.171940588
Canada,1986,14.9,7,1.67,79.73,73.04,76.30341463,0.929446703,25942000,12000,0.046433382,12480666,48.2932946,674390,7.416168234,1.742579601,4.971237729,9093510,6134245,0.259275601,9984670,2.852803813,76.354,1.137905494
Canada,1987,14.5,7.2,1.675,79.8,73.24,76.44,1.004879395,26204000,60000,0.229211886,12948041,49.4640816,678250,7.45861609,1.726415814,4.974866691,9093510,6157416,0.377020281,9984670,2.88161557,76.502,1.198523749
Canada,1988,14.4,7.2,1.68,80.12,73.52,76.7395122,1.311767682,26550000,98364,0.370663166,13444317,50.66196069,678120,7.457186499,1.706440678,4.982234583,9093510,6233409,1.226616514,9984670,2.919664684,76.522,1.337907772
Canada,1989,14.5,7.3,1.68,80.2,73.58,76.80926829,1.291064804,26895000,202633,0.752880479,13975828,51.92702113,677980,7.455646939,1.68700502,4.989492506,9093510,6309029,1.205840783,9984670,2.95760383,76.542,1.317198149
Canada,1990,14.9,7.3,1.77,80.4,73.89,77.06560976,1.783590046,27379000,345178,1.264765577,14647789,53.6709156,677820,7.453887443,1.659593119,4.99675043,9093510,6417090,1.698296193,9984670,3.010828602,76.562,1.809715688
Canada,1991,15,7.3,1.83,80.65,74.26,77.37707317,1.493593109,27791000,583766,2.110674786,15295819,55.30383664,677680,7.452347883,1.637364614,5.004008353,9093510,6508096,1.408219641,9984670,3.05613564,76.582,1.519714007
Canada,1992,14.9,7.2,1.7,80.77,74.49,77.55341463,1.360506174,28171682,775831,2.769888481,15814928,56.46279524,677530,7.450698355,1.617581797,5.011266277,9093510,6586539,1.198108055,9984670,3.097998683,76.62,1.410113263
Canada,1993,14.7,6.9,1.71,80.02,74.75,77.32073171,1.2274176,28519597,1026611,3.621301434,16246589,57.30875282,678140,7.457406436,1.597568156,5.010386528,9093510,6591734,0.078841898,9984670,3.136258386,76.887,1.57528573
Canada,1994,13.6,6.8,1.7,80.83,74.69,77.68512195,1.094331921,28833410,1332982,4.648371087,16716802,58.29478498,678740,7.464004548,1.579868632,5.009396812,9093510,6587858,-0.058818211,9984670,3.170767943,77.152,1.438396725
Canada,1995,13.1,7.2,1.6695,80.93,74.94,77.86195122,0.961244717,29111906,1865779,6.435664704,17250407,59.50213582,679340,7.470602661,1.564480182,5.008517063,9093510,6575215,-0.192098059,9984670,3.201393741,77.414,1.300261364
Canada,1996,12.6,7.1,1.639,81.02,75.08,77.97756098,0.828159179,29354000,2589780,8.840378661,17567000,59.96607123,679940,7.477200773,1.551304763,5.007637315,9093510,6553280,-0.334158948,9984670,3.228016464,77.675,1.164742225
Canada,1997,12,7.3,1.592,81.15,75.45,78.2304878,1.077164681,29671900,3497779,11.82226558,17974000,60.75095125,680550,7.483908854,1.534414716,5.006757567,9093510,6542357,-0.166818957,9984670,3.262975463,77.951,1.431860375
Canada,1998,11.6,7.2,1.55,81.4,75.7,78.4804878,1.057015395,29987200,4195000,14.04583637,18660000,62.47802304,679440,7.471702346,1.520615463,5.014455364,9093510,6495228,-0.722974466,9984670,3.297648543,78.34,1.554802761
Canada,1999,11.4,7.2,1.53,81.5,75.96,78.66243902,0.865613663,30247900,5346000,17.73689555,19294000,64.01340493,678340,7.459605807,1.509823822,5.022153162,9093510,6435543,-0.923153366,9984670,3.326317341,78.724,1.354590186
Canada,2000,11.2,7.3,1.51,81.7,76.2,78.88292683,0.827369318,30499200,6911038,22.72196984,20380000,67.0049485,677230,7.447399299,1.49967868,5.02985096,9093510,6373418,-0.970031639,9984670,3.353952434,79.103,1.307641359
